output|input|instruction
Rage|TRUST|A friend reveals secrets you told them in confidence
Rage|RELATIONSHIP_COMMITMENT|Your partner flirts with others in front of you
Irritation|PRODUCTIVITY_RESPECT|Someone constantly interrupts your work with trivial questions
Annoyance|COMMUNICATION|A friend makes plans with you then invites others without asking
Irritation|HONESTY|Your sibling always takes the credit for family gift contributions
Anger|FAIRNESS|Someone always insists on splitting bills unequally in their favor
Annoyance|LIVING_SPACE_RESPECT|Your roommate brings romantic partners over without notice
Irritation|CONSIDERATION_FOR_PREFERENCES|A friend always chooses restaurants you dislike for group dinners
Anger|INTEREST_VALIDATION|Your partner rolls their eyes when you express excitement about hobbies
Annoyance|MODESTY|Someone constantly brags about their wealth and possessions
Irritation|INCLUSIVE_DIALOGUE|A family member always dominates holiday conversations
Anger|CONSENT|Your friend takes photos of you without permission and posts them
Irritation|EMPATHY_BALANCE|Someone always insists their problems are worse than yours
Rage|ACCOUNTABILITY|Your partner refuses to acknowledge when they hurt your feelings
Anger|COLLABORATIVE_RECOGNITION|A coworker always takes credit for group brainstorming ideas
Irritation|PERSONAL_RESPONSIBILITY|Your roommate leaves messes expecting others to clean up
Annoyance|GENUINE_KINDNESS|Someone constantly makes backhanded compliments
