output,input,instruction
Contentedness,SHARED_VALUES,The client prioritizes security best practices from the project start
Tranquility,PRIVACY_RESPECT,Your company respects professional boundaries between personal and work accounts
Happiness,PROFESSIONAL_CONSULTATION,A PM seeks technical input before making client commitments
Tranquility,DATA_PROTECTION,The company invests in comprehensive backup systems and disaster recovery
Contentedness,GROWTH_SUPPORT,"A senior developer provides constructive, helpful code review feedback"
Joy,TIME_BOUNDARIES,Your manager protects your vacation time from any work interruptions
Happiness,QUALITY_COMMITMENT,The client enthusiastically supports comprehensive cross-platform testing
Contentedness,REALISTIC_EXPECTATIONS,Your company provides reasonable timelines for proper legacy browser support
Tranquility,MUTUAL_RESPECT,"A teammate actively participates in thoughtful, reciprocal code reviews"
Contentedness,WORKFLOW_RESPECT,The PM schedules meetings to complement rather than interrupt development flow
Happiness,PROJECT_COLLABORATION,Your client provides all necessary content ahead of scheduled deadlines
Joy,EFFICIENCY_SUPPORT,The company selects development tools that enhance rather than hinder productivity
Happiness,ACTIVE_ENGAGEMENT,Your friend listens attentively and responds thoughtfully to your stories
Joy,ACCEPTANCE,A family member celebrates and supports your life choices at gatherings
Tranquility,PARTNERSHIP_EQUALITY,Your partner consistently shares household responsibilities without being asked
Contentedness,GENEROUS_FRIENDSHIP,A friend celebrates your achievements without comparing to their own
Happiness,CONSIDERATE_LIVING,Your roommate asks permission before inviting guests and considers your schedule
Joy,PRESENCE_GIFT,Someone puts away their phone to give you full attention during conversations
Happiness,FAMILY_SUPPORT,"A relative gives genuine, thoughtful compliments about your personal growth"
Tranquility,LOYALTY,Your friend keeps plans even when other attractive options arise
Contentedness,CONSTRUCTIVE_COLLABORATION,A coworker contributes solutions along with identifying workplace challenges
Joy,EMOTIONAL_SAFETY,Your partner validates your feelings and works together on relationship issues
Happiness,RESPECTFUL_CARE,A friend returns borrowed items in better condition than when borrowed
Tranquility,BOUNDARY_RESPECT,Someone offers helpful advice only when asked and respects your autonomy
Contentedness,FAMILY_INCLUSION,Your sibling includes you in decisions affecting shared family matters
Joy,SUPPORTIVE_FRIENDSHIP,A friend celebrates your successes without making jokes at your expense
Happiness,GRACIOUS_RECIPROCITY,Your neighbor returns borrowed tools promptly with a thank-you note
Tranquility,BALANCED_CONVERSATION,Someone shares interesting stories while also asking about your experiences
Contentedness,RELATIONSHIP_SUPPORT,Your partner openly appreciates your friends and speaks positively about them
Tranquility,TRUST_RESPECT,A family member keeps private information confidential as requested
Happiness,HONEST_COMMUNICATION,A friend expresses needs directly without guilt or manipulation
Contentedness,TIME_CONSIDERATION,Someone arrives punctually for plans showing respect for everyone's time
Tranquility,PROFESSIONAL_COURTESY,A coworker saves personal calls for breaks and stays engaged during meetings
Joy,RECIPROCAL_EFFORT,Your friend initiates contact regularly showing mutual investment in the friendship
Happiness,SOCIAL_GRACE,Someone engages in conversations without constantly correcting minor details
Joy,PARTNERSHIP_RESPECT,Your partner includes you in major decisions that affect your shared life
Tranquility,GENUINE_CARE,A friend reaches out offering support without expecting anything in return
Contentedness,COOPERATIVE_LIVING,Your roommate maintains shared spaces according to agreed-upon standards
Happiness,MATURE_DISCOURSE,Someone gracefully agrees to disagree during discussions without needing to win
Joy,PERSONAL_RECOGNITION,Your family member acknowledges your individual strengths without unfair comparisons
Tranquility,TRUSTWORTHY_FRIENDSHIP,A friend keeps your shared secrets safe and never breaches your confidence
Happiness,PERSONAL_VALIDATION,Your partner shows genuine interest and enthusiasm for your hobbies
Contentedness,HUMBLE_JOY,Someone shares their good fortune without excessive boasting
Tranquility,INCLUSIVE_DIALOGUE,A family member ensures everyone gets equal time to contribute to conversations
Happiness,CONSENT_RESPECT,Your friend asks permission before taking photos and respects your privacy preferences
Joy,EMPATHETIC_UNDERSTANDING,Someone acknowledges that everyone faces different challenges without comparing hardships
Contentedness,TEAM_GENEROSITY,A coworker shares recognition for collaborative brainstorming and group achievements
Tranquility,PERSONAL_ACCOUNTABILITY,Your roommate takes responsibility for their own messes and maintains shared spaces
Joy,GENUINE_APPRECIATION,"Someone offers sincere, thoughtful compliments that celebrate your authentic self"
